date,year,stage,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility
2014-08-03,2014,1,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9
2014-08-04,2014,2,flat,1,226.0,Warszawa,26.6,61,NW,4,5,7
2014-08-05,2014,3,flat,1,174.0,Rzeszów,22.5,65,SSE,1,4,6
2014-08-06,2014,4,flat,1,236.0,Katowice,22.7,52,N,3,4,8
2014-08-07,2014,5,hilly,2,190.0,Strbskie Pleso,25.5,66,ENE,2,1,8
2014-08-08,2014,6,hilly,2,174.0,Bukowina Tatrzanska,21.4,73,NW,4,7,8
2014-08-09,2014,7,itt,6,25.0,Krakow,22.9,0,,0,5,7
2015-08-02,2015,1,flat,1,122.0,Warszawa,27.1,38,SSE,1,7,9
2015-08-03,2015,2,flat,1,146.0,Dąbrowa Górnicza,29.5,37,SSE,3,2,9
2015-08-04,2015,3,flat,1,166.0,Katowice,25.5,0,E,1,6,6
2015-08-05,2015,4,flat,1,220.0,Nowy Sącz,28.9,55,NNW,3,4,7
2015-08-06,2015,5,hilly,2,223.0,Zakopane,30.4,51,SE,2,0,8
2015-08-07,2015,6,hilly-mf,3,174.0,Bukowina Tatrzańska,29.9,39,E,3,2,8
2015-08-08,2015,7,itt,6,25.0,Krakow,27.5,0,C,0,4,7
2016-07-12,2016,1,flat,1,135.0,Warsaw,20.7,90,SSW,1,7,8
2016-07-13,2016,2,flat,1,153.0,Katowice,22.6,67,WNW,4,5,7
2016-07-14,2016,3,hilly,2,240.0,Nowy Sacz,19.0,0,WSW,2,6,6
2016-07-15,2016,4,hilly,2,218.0,Rzeszów,21.0,50,NW,4,7,4
2016-07-16,2016,5,hilly-mf,3,225.0,Zakopane,17.9,77,ESE,3,8,7
2016-07-17,2016,6,hilly-mf,3,194.0,Bukowina Tatrzańska,13.6,99,NNW,4,8,4
2016-07-18,2016,7,itt,6,25.0,Kraków,12.5,0,WSW,3,8,5
2017-07-29,2017,1,flat,1,130.0,Kraków,25.5,38,W,3,3,9
2017-07-30,2017,2,flat,1,142.0,Katowice,29.6,33,WSW,4,2,9
2017-07-31,2017,3,hilly-mf,3,161.0,Szczyrk,27.2,0,SSE,2,4,6
2017-08-01,2017,4,flat,1,238.0,Zabrze,33.2,33,S,3,1,9
2017-08-02,2017,5,hilly,2,130.0,Rzeszów,33.0,40,WNW,3,6,8
2017-08-03,2017,6,hilly,2,189.0,Zakopane,30.6,32,W,5,5,8
2017-08-04,2017,7,hilly-mf,3,132.0,Bukowina Tatrzańska,24.0,0,SW,3,8,7
2018-08-04,2018,1,flat,1,134.0,Kraków,27.6,27,W,3,2,9
2018-08-05,2018,2,flat,1,144.3,Katowice,30.5,24,WNW,4,3,8
2018-08-06,2018,3,flat,1,139.0,Zabrze,22.9,0,,0,6,6
2018-08-07,2018,4,hilly-mf,3,179.0,Szczyrk,24.3,37,NW,4,2,8
2018-08-08,2018,5,hilly-mf,3,152.0,Bielsko-Biała,22.1,67,NW,2,2,8
2018-08-09,2018,6,hilly,2,129.0,Bukovina Resort,21.2,64,SSW,2,7,8
2018-08-10,2018,7,hilly-mf,3,136.0,Bukowina Tatrzańska,19.1,0,NNW,2,7,7
